1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
2	IND	Erik	Abildgaard	Livingstone-Macleod	No	Yes	M			
3	UCP	Sayid	Ahmed	Edmonton-Decore	Yes	Yes	M			/sayid-ahmed/
4	NDP	Nagwan	Al-Guneid	Calgary-Glenmore	No	Yes	F			//nagwanalguneid.albertandp.ca/
5	UCP	Mickey	Amery	Calgary-Cross	Yes	Yes	M			/mickey-amery/
6	AP	Glen	Andersen	Bonnyville-Cold Lake-St. Paul	No	No	M			
7	SM	Michael	Andrusco	Airdrie-Cochrane	No	Yes	M	Nick Lauritsen		
8	UCP	Joseph	Angeles	Edmonton-South	Yes	Yes	M			/joseph-angeles/
9	NDP	Rajesh	Angral	Calgary-North	No	Yes	M			//rajeshangral.albertandp.ca
10	NDP	Brooks	Arcand-Paul	Edmonton-West Henday	No	Yes	M			//brooksarcandpaul.albertandp.ca
11	NDP	Dustin	Archibald	Grande Prairie-Wapiti	No	Yes	M			//dustinarchibald.albertandp.ca
12	UCP	Jackie	Armstrong-Homeniuk	Fort Saskatchewan-Vegreville	Yes	Yes	F			/jackie-armstrong-homeniuk/
13	UCP	Raman	Athwal	Edmonton-Mill Woods	No	Yes				/raman-athwal/
14	AP	Jason	Avramenko	Calgary-Currie	no	Yes	M			http://www.javramenko.com/
15	NDP	Michelle	Baer	Red Deer-South	No	Yes	F			//michellebaer.albertandp.ca
16	Lib	Abdikarim 	Bakal	Edmonton-Mill Woods	No	No	M			
17	IND	Jody	Balanko	Strathcona-Sherwood Park	No	Yes				
18	GPA	Jayden	Baldonado	Calgary-East	no	Yes	M			https://www.greenpartyofalberta.ca/calgary_east
19	IND	Funke	Banjoko	Fort McMurray-Wood Buffalo	No	Yes	F			
20	WLC	Nan	Barron	Calgary-Edgemont	No	Yes	F			
21	UCP	Ranjit	Bath	Edmonton-Ellerslie	No	Yes	M			/ranjit-bath/
22	NDP	Diana	Batten	Calgary-Acadia	No	Yes	F			//dianabatten.albertandp.ca
23	IPA	Vicky	Bayford	Red Deer-North	No	Yes	F			
24	GPA	Tyler	Beaulac	Edmonton-North West	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_north_west
25	GPA	Paul	Bechtold	Calgary-Acadia	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_acadia
26	GPA	Chryssy	Beckmann	Edmonton-South	No	Yes	F			https://www.greenpartyofalberta.ca/edmonton_south
27	CP-A	Corrine	Benson	Edmonton-Meadows	No	Yes	F			https://www.communistparty-alberta.ca/
28	UCP	Miles	Berry	Edmonton-Gold Bar	No	Yes	M			/miles-berry/
29	IPA	Brooklyn	Biegel	Grande Prairie-Wapiti	No	Yes	F			
30	Lib	Dan	Bildhauer	Edmonton-West Henday	No	Yes	M			https://www.albertaliberal.com/dan_bildhauer
31	GPA	Daniel	Birrell	Spruce Grove-Stony Plain	No	Yes	M			https://www.greenpartyofalberta.ca/spruce_grove_stony_plain
32	NDP	Caitlyn	Blake	Bonnyville-Cold Lake-St. Paul	No	Yes	F			//caitlynblake.albertandp.ca
33	IND	Bob	Blayone	Camrose	No	Yes	M			
34	SM	David John	Bohonos	Edmonton-Glenora	No	Yes	M	Nick Lauritsen		
35	UCP	Andrew	Boitchenko	Drayton Valley-Devon	Yes	Yes	M			/andrew-boitchenko/
36	IPA	Cody Ray	Both	Cypress-Medicine Hat	No	Yes	M			
37	UCP	Eric	Bouchard	Calgary-Lougheed	No	Yes	M			/eric-bouchard/
38	NDP	Rebecca	Bounsall	Calgary-Fish Creek	no	Yes	F			//rebeccabounsall.albertandp.ca
39	IPA	Rodney	Bowen	Central Peace-Notley	No	Yes	M			
40	GPA	Regan	Boychuk	Banff-Kananaskis	No	Yes	M			https://www.greenpartyofalberta.ca/banff-kananaskis
41	WLC	Paul	Brake	Edmonton-West Henday	No	No	M			
42	NDP	Gurinder	Brar	Calgary-North East	No	Yes	M			//gurinderbrar.albertandp.ca
43	IPA	David	Braun	Grande Prairie	No	Yes	M			
44	WLC	Change	Brayford	Grande Prairie	No	No				
45	SM	Judy	Bridges	Olds-Didsbury-Three Hills	No	Yes	F	Nick Lauritsen		
46	NDP	Richard	Bruneau	Camrose	no	Yes	M			//richardbruneau.albertandp.ca
47	NDP	Vance	Buchwald	Rimbey-Rocky Mountain House-Sundre	No	Yes	M			//vancebuchwald.albertandp.ca
