Name	Party	Count
UCP	United Conservative Party of Alberta (UCP)	86
NDP	Alberta New Democratic Party (NDP)	83
GPA	Green Party of Alberta (GPA)	32
AP	Alberta Party (AP)	14
IND	Independent	10
LIB	Alberta Liberal Party (LIB)	8
IPA	The Independence Party of Alberta (TIP)	6
APA	Advantage Party of Alberta (APA)	3
CP-A	Communist Party - Alberta (CP - A)	3
BPA	The Buffalo Party of Alberta (BPA)	1
PAPA	Pro-Life Alberta Political Association (PAPA)	0
REF	Reform Party of Alberta (REF)	0
WIPA	Wildrose Independence Party of Alberta (WIPA)	0
