1	Airdrie-Cochrane	Calgary Suburbs	2019	Guthrie, Peter	United Conservative	51170
2	Airdrie-East	Calgary Suburbs	2019	Pitt, Angela	United Conservative	49978
3	Athabasca-Barrhead-Westlock	Northern Alberta	2019	van Dijken, Glenn	United Conservative	46920
4	Banff-Kananaskis	Calgary Suburbs	2019	Rosin, Miranda	United Conservative	46824
5	Bonnyville-Cold Lake-St. Paul	Northern Alberta	2019	Hanson, Dave	United Conservative	53809
6	Brooks-Medicine Hat	Southern Alberta	2019	Smith, Danielle	United Conservative	51070
7	Calgary-Acadia	Calgary South	2012	Shandro, Tyler	United Conservative	48966
8	Calgary-Beddington	Calgary Northwest	2019	Pon, Josephine	United Conservative	50220
9	Calgary-Bow	Calgary Northwest	1971	Nicolaides, Demetrios	United Conservative	51358
10	Calgary-Buffalo	Calgary Central	1971	Ceci, Joe	New Democrat	49907
11	Calgary-Cross	Calgary East	1993	Amery, Mickey	United Conservative	50634
12	Calgary-Currie	Calgary Central	1971	Milliken, Nicholas	United Conservative	48403
13	Calgary-East	Calgary East	1963	Singh, Peter	United Conservative	50838
14	Calgary-Edgemont	Calgary Northwest	2019	Panda, Prasad	United Conservative	50803
15	Calgary-Elbow	Calgary Central	1971	Schweitzer, Doug	United Conservative	48618
16	Calgary-Falconridge	Calgary East	2019	Toor, Devinder	United Conservative	52688
17	Calgary-Fish Creek	Calgary South	1979	Gotfried, Richard	United Conservative	47691
18	Calgary-Foothills	Calgary Northwest	1971	Luan, Jason	United Conservative	45715
19	Calgary-Glenmore	Calgary South	1959	Issik, Whitney	United Conservative	49543
20	Calgary-Hays	Calgary South	2004	McIver, Ric	United Conservative	50782
21	Calgary-Klein	Calgary Central	2012	Nixon, Jeremy	United Conservative	50338
22	Calgary-Lougheed	Calgary South	1993	Kenney, Jason	United Conservative	42956
23	Calgary-Bhullar-McCall	Calgary East	1971	Sabir, Irfan	New Democrat	48735
24	Calgary-Mountain View	Calgary Central	1971	Ganley, Kathleen	New Democrat	49442
25	Calgary-North	Calgary Northwest	1957	Yaseen, Muhammad	United Conservative	39120
26	Calgary-North East	Calgary East	1959	Sawhney, Rajan	United Conservative	40366
27	Calgary-North West	Calgary Northwest	1979	Savage, Sonya	United Conservative	48766
28	Calgary-Peigan	Calgary East	2019	Fir, Tanya	United Conservative	45810
29	Calgary-Shaw	Calgary South	1986	Schulz, Rebecca	United Conservative	45169
30	Calgary-South East	Calgary South	1959	Jones, Matt	United Conservative	40309
31	Calgary-Varsity	Calgary Central	1993	Copping, Jason	United Conservative	45742
32	Calgary-West	Calgary Northwest	1959	Ellis, Mike	United Conservative	46266
33	Camrose	Central Alberta East	1921	Lovely, Jackie	United Conservative	44082
34	Cardston-Siksika	Southern Alberta	2019	Schow, Joseph	United Conservative	42655
35	Central Peace-Notley	Northern Alberta	2019	Loewen, Todd	Independent	28993
36	Chestermere-Strathmore	Calgary Suburbs	2019	Aheer, Leela	United Conservative	48203
37	Cypress-Medicine Hat	Southern Alberta	1993	Barnes, Drew	Independent	50109
38	Drayton Valley-Devon	Central Alberta West	2012	Smith, Mark	United Conservative	46637
39	Drumheller-Stettler	Central Alberta East	2004	Horner, Nate	United Conservative	41535
40	Edmonton-Beverly-Clareview	Edmonton North	1997	Bilous, Deron	New Democrat	46496
41	Edmonton-Castle Downs	Edmonton North	1997	Goehring, Nicole	New Democrat	46112
42	Edmonton-City Centre	Edmonton Central	2019	Shepherd, David	New Democrat	47715
43	Edmonton-Decore	Edmonton North	2004	Nielsen, Chris	New Democrat	48927
44	Edmonton-Ellerslie	Edmonton South	1993	Loyola, Rod	New Democrat	48024
45	Edmonton-Glenora	Edmonton Central	1971	Hoffman, Sarah	New Democrat	45519
46	Edmonton-Gold Bar	Edmonton Central	1971	Schmidt, Marlin	New Democrat	45446
47	Edmonton-Highlands-Norwood	Edmonton Central	2004	Irwin, Janis	New Democrat	43550
48	Edmonton-Manning	Edmonton North	1993	Sweet, Heather	New Democrat	48376
49	Edmonton-McClung	Edmonton North	1993	Dach, Lorne	New Democrat	44625
50	Edmonton-Meadows	Edmonton South	2019	Deol, Jasvir	New Democrat	51776
51	Edmonton-Mill Woods	Edmonton South	1979	Gray, Christina	New Democrat	50265
52	Edmonton-North West	Edmonton North	1959	Eggen, David	New Democrat	45523
53	Edmonton-Riverview	Edmonton Central	1997	Sigurdson, Lori	New Democrat	45214
54	Edmonton-Rutherford	Edmonton South	1993	Feehan, Richard	New Democrat	47353
55	Edmonton-South	Edmonton South	1917	Dang, Thomas	Independent	45801
56	Edmonton-South West	Edmonton South	2012	Madu, Kaycee	United Conservative	45901
57	Edmonton-Strathcona	Edmonton Central	1971	Notley, Rachel	New Democrat	46578
58	Edmonton-West Henday	Edmonton North	2019	Carson, Jon	New Democrat	43046
59	Edmonton-Whitemud	Edmonton South	1971	Pancholi, Rakhi	New Democrat	46833
60	Fort McMurray-Lac La Biche	Northern Alberta	2019	Jean, Brian	United Conservative	44166
61	Fort McMurray-Wood Buffalo	Northern Alberta	2004	Yao, Tany	United Conservative	41420
62	Fort Saskatchewan-Vegreville	Edmonton Suburbs	2004	Armstrong-Homeniuk, Jackie	United Conservative	52141
63	Grande Prairie	Northern Alberta	1930	Allard, Tracy	United Conservative	46343
64	Grande Prairie-Wapiti	Northern Alberta	1993	Toews, Travis	United Conservative	48481
65	Highwood	Calgary Suburbs	1971	Sigurdson, RJ	United Conservative	48813
66	Innisfail-Sylvan Lake	Central Alberta West	1993	Dreeshen, Devin	United Conservative	46717
67	Lac Ste. Anne-Parkland	Central Alberta West	2019	Getson, Shane	United Conservative	46546
68	Lacombe-Ponoka	Central Alberta East	2004	Orr, Ron	United Conservative	44898
69	Leduc-Beaumont	Edmonton Suburbs	2012	Rutherford, Brad	United Conservative	48337
70	Lesser Slave Lake	Northern Alberta	1971	Rehn, Pat	United Conservative	27818
71	Lethbridge-East	Southern Alberta	1971	Neudorf, Nathan	United Conservative	46204
72	Lethbridge-West	Southern Alberta	1971	Phillips, Shannon	New Democrat	46525
73	Livingstone-Macleod	Southern Alberta	1997	Reid, Roger	United Conservative	48120
74	Maskwacis-Wetaskiwin	Central Alberta East	2019	Wilson, Rick	United Conservative	43798
75	Morinville-St. Albert	Edmonton Suburbs	2019	Nally, Dale	United Conservative	50225
76	Olds-Didsbury-Three Hills	Calgary Suburbs	1997	Cooper, Nathan	United Conservative	49418
77	Peace River	Northern Alberta	1905	Williams, Dan	United Conservative	39974
78	Red Deer-North	Central Alberta West	1986	LaGrange, Adriana	United Conservative	47672
79	Red Deer-South	Central Alberta West	1986	Stephan, Jason	United Conservative	52743
80	Rimbey-Rocky Mountain House-Sundre	Central Alberta West	2012	Nixon, Jason	United Conservative	45138
81	Sherwood Park	Edmonton Suburbs	1986	Walker, Jordan	United Conservative	45992
82	Spruce Grove-Stony Plain	Edmonton Suburbs	2019	Turton, Searle	United Conservative	51267
83	St. Albert	Edmonton Suburbs	1905	Renaud, Marie	New Democrat	47745
84	Strathcona-Sherwood Park	Edmonton Suburbs	2012	Glubish, Nate	United Conservative	47853
85	Taber-Warner	Southern Alberta	1963	Hunter, Grant	United Conservative	42625
86	Vermilion-Lloydminster-Wainwright	Central Alberta East	2019	Rowswell, Garth	United Conservative	46042
87	West Yellowhead	Central Alberta West	1986	Long, Martin	United Conservative	50604
