Nagwan Al-Guneid	Calgary-Glenmore	Nagwan Al-Guneid is a leader in the sustainability and energy sector who recognizes the role Calgary plays on the world energy stage.Nagwan is the Director of the Business Renewables Centre-Canada. Her career spans 15 years, including roles with the Energy Futures Lab and TotalEnergies. She holds a Master of Science in Sustainable Energy Development from the University of Calgary.Nagwan co-founded the Next30 initiative that developed policy ideas for Alberta’s future. She is Past President of AskHer. She was selected as one of Calgary’s Top 40 Under 40.
Rajesh Angral	Calgary-North	Rajesh is an-award winning broadcaster and entrepreneur who is bringing his talent and compassion to Rachel Notley’s Team.A finalist for the Calgary Chamber of Commerce’s “People’s Choice Award”, Rajesh is the owner and a host of Sabrang Radio 94.7FM.Rajesh wants to bring his 15 years of business experience to government and work on your priorities, including strengthening healthcare and education, and addressing the spiralling costs of utilities and car insurance.A proud hockey dad, cricketer and Northwest Calgary resident, Rajesh is President of the Punjabi Chamber of Commerce and has organized a number of multicultural events. He has worked tirelessly at the Dashmesh Culture Centre and has spearheaded Drug Awareness campaigns.
Brooks Arcand-Paul	Edmonton-West Henday	Brooks Arcand-Paul has deep roots in the west end, and as a lawyer and community builder, has the skills and background to champion for good public education, strong healthcare facilities, and quality jobs for the community.Brooks is the in-house legal counsel for the Alexander First Nation, where he provides legal advice and manages the legal affairs of the Nation of 2,300 people. Previously, Brooks was in private practice doing litigation work in the areas of Indigenous and employment law.Brooks lives in the West Henday area with his partner and their golden retriever, close to much of his family.
Michelle Baer	Red Deer-South	Michelle Baer is a true champion for residents of Red Deer. As a lawyer and the City Solicitor, Michelle knows what is important to Red Deerians, and how important it is for all levels of government to work together to help Albertans succeed.Michelle believes in hard work and focusing on what matters. Outside of her work with the city, Michelle volunteers her time to help refugees and newcomers in Red Deer.When not spending time with her three adult children and family, Michelle likes to garden and read a good book on her porch.
Diana Batten	Calgary-Acadia 	Diana Batten cares about people and understands the critical role healthcare plays in the daily lives of Albertans. As a Registered Nurse, Diana is on the frontlines in our healthcare system and has the willingness, experience, and expertise to make it better.<br>
Growing up, Diana worked at her family’s store and became a small business owner at the age of 19. She then went on to become a research scientist, registered nurse, and educator.<br>
Diana lives in Calgary with her fiancé and their rescue dog Sylvie.
Caitlyn Blake	Bonnyville-Cold Lake-St. Paul	Caitlyn Blake knows what’s important to her community because her roots run deep in Bonnyville-Cold Lake-St. Paul. She built her business here, raised her family here, and runs a family farm here.Caitlyn is a self-taught photographer and has seen incredible success with her business which she has owned and operated for over 10 years.Caitlyn, her husband, and their four kids love to spend time on the family farm, and Caitlyn is very involved at her kids' school helping fundraise with other parents.
Rebecca Bounsall	Calgary-Fish Creek	Rebecca is an experienced private sector leader and tech industry builder who understands the importance of creating jobs and building a resilient economy.With Rachel Notley, Rebecca will work to attract more family doctors, strengthen public healthcare and make life more affordable for Calgary families. She understands your priorities.Rebecca has lived in Alberta for 31 years and currently lives in Sundance and volunteers at the Calgary Food Bank in her spare time where she sees first-hand the impact of the affordability crisis on families.
Gurinder Brar	Calgary-North East	Gurinder Brar is a successful Calgary business owner and business instructor.Gurinder paid his way through school by working retail and security jobs before starting his own logistics business which employs more than 40 people. He earned his bachelor's degree in Accounting from SAIT and MSc in Public Policy and Management from University of London. He has taught at several Calgary-area colleges.<br>
Gurinder is running for office to ensure that Albertans always have access to strong public education and healthcare, and to control the punishing monthly bills the UCP has imposed on families and businesses.<br>
Gurinder lives in Cityscape with his wife Parwinder.
Richard Bruneau	Camrose	Richard Bruneau wants to see Camrose thrive. As a local farmer and businessman, Richard has been delighted to be involved in his hometown's vibrant cultural and business community.Richard’s vision is “to lead and to serve,” embodying the motto of Augustana Campus, where Richard earned his Bachelor of Science. Influenced by his work as a Canadian Diplomat, Richard believes in communities' power to create change, and government’s ability to empower them through thoughtful policy and relationship building.Richard lives with his wife and daughter on a farm near Kingman where they run a beef cattle operation.
Vance Buchwald	Rimbey-Rocky Mountain House-Sundre	Vance is a retired fisheries biologist and understands the dangers the UCP’s reckless coal policy poses to our water and Rocky Mountains.As an avid community activist, Vance is a founder of the West County Sustainability Coalition, the Nordegg Trails Society, and a community member of the West Central Stakeholders.Vance lives in Nordegg and is focused on what matters to you: making sure you have access to a family doctor, building a resilient economy with good paying jobs, and making life more affordable.
Jodi Calahoo Stonehouse	Edmonton-Rutherford	Jodi Calahoo Stonehouse understands the importance in advocating for the needs for all Albertans. Jodi is Cree and Mohawk from Michel First Nation, and has been recognized internationally for her anti-racism work with the Edmonton Shift Lab.Before becoming the Executive Director for the Yellowhead Indigenous Education Foundation, Jodi was the founder of Miyo-Pimatisiwin Productions and was a producer and broadcaster of Acimowin, an award-winning Indigenous radio program.Jodi lives in Edmonton with her two teenagers and their rescue dog, and is completing an MSc with the Faculty of Resource Economics and Environmental Sociology at the U of A.
Oneil Carlier	Lac Ste Anne-Parkland	Oneil Carlier is committed to helping Albertans succeed. He’s running to help create good-paying jobs and control the runaway monthly bills the UCP has imposed on families.Oneil worked as a geotechnical technician for the Prairie Farm Rehabilitation Administration before becoming a Representative for the Public Service Alliance of Canada. He was also Alberta’s Minister of Agriculture and Forestry for four years. He has volunteered as a Scout leader and youth baseball coach.Oneil loves riding his motorcycle on Alberta highways. He lives in Lac Ste. Anne County with his wife Michele. They have five adult children and are enjoying being new first time grandparents!
Joe Ceci	Calgary-Buffalo	Joe Ceci is committed to strengthening Calgary’s communities and citizens. After more than two decades serving Calgarians as a City Councillor and a social worker, Joe was elected as an MLA in 2015.As Alberta’s Minister of Finance, Joe worked to diversify the economy and create good paying jobs for Albertans. Currently, Joe is the Critic for Municipal Affairs and continues to push for provincial support to revitalize Calgary’s Downtown.Joe and his wife Christine are proud to call Calgary home.
Joan Chand'oiseau	Calgary-West	Joan Chand’oiseau is a passionate changemaker. An award-winning leader who has continually<br>
served her community with integrity and compassion, she knows the real challenges facing Calgarians.Joan has dedicated her professional career to supporting vulnerable populations. She successfully led the collaborative SeniorConnect program, keeping seniors safe and living independently, earning her recognition in Calgary’s Top 40 Under 40. Joan shifted focus to caring for her children with special needs and extensive volunteer commitments.A champion for human rights for over two decades, Joan is known locally and nationally as a strong, positive advocate for health, neurodiversity, and public education.
Amanda Chapman	Calgary-Beddington	Amanda Chapman is a communications consultant who is very dedicated to improving her community. With a background in administrative work in local theatre and non-profit groups, Amanda now uses her skills volunteering on the local school board.Amanda has always called Huntington Hills home, where she is now raising her family.Amanda studied at the Haskayne School of Business at the University of Calgary and earned a degree in business, and currently does contract communications work.
Megan Ciurysek	Central Peace-Notley	Megan Ciurysek is a born and raised farm girl with a unique understanding of how to run an efficient and accountable government for Albertans.Megan has a MA in Political Science and now works as an analyst supporting Alberta’s public agencies, including those in emerging sectors.Megan’s family and community involvement inspire her to help build a great economy and a strong healthcare system to benefit all Albertans.Megan lives with her spouse and their two sons in Grimshaw and part-time on the farm near Berwyn where she grew up.
David Cloutier	Calgary-Shaw	David Cloutier grew up in south Calgary and is proud to have always called it home. As a career and technologies teacher, David understands the important role a strong curriculum and advancements in technology play in shaping our children’s future and Alberta’s economy.David is dedicated to helping the people of Calgary-Shaw with the rising cost of living and ensuring they have access to good public healthcare.David holds a Master of Arts from Athabasca University and a Bachelor of Education from Mount Royal University and lives in Legacy with his wife, their two children, and adored cats.
Lorne Dach	Edmonton-McClung	Lorne Dach has been the MLA for Edmonton-McClung since 2015 and works to ensure that everyone has a place to hang their hat and feel welcome in the community.Before becoming an MLA, Lorne was a Realtor for 30 years and has been involved with community-building initiatives such as the Seniors Home Adaptation and Repair Program which helps seniors spend more years in their own homes.Lorne has spent his whole life in Edmonton, and through his work recognizes the important role small businesses play in building communities.
Dave Dale	Lacombe-Ponoka	Dave Dale has been a teacher for the last 25 years, working in a variety of types of schools and in special education. He now teaches Grade 6 in Delburne.Before teaching, Dave worked in Child and Youth Care and earned a Bachelor of Education from the University of Calgary.Dave is an active member of the Alberta Teachers Association and wants to ensure teachers have the best tools available to provide a good education to Alberta students.Since 2006, Dave and his wife Heather have lived in the hamlet of Mirror.
Jasvir Deol	Edmonton-Meadows	Jasvir Deol has served as the MLA for Edmonton-Meadows since 2019 and is the NDP Critic for Multiculturalism. Jasvir has lived in his community for 29 years, where he was a small-business owner for nearly two decades.Jasvir is heavily involved in his community, organizing many community sport tournaments and funding events for youth projects, plus holding board member roles for several non-profits and a leadership role with the Edmonton Taxi Association.With a commitment to bridging cultural gaps, Jasvir is excited to enact change by creating opportunities for Edmonton-Meadows, and all Albertans.
Gwendoline Dirk	Brooks-Medicine Hat	Gwendoline Dirk learned the values of family, hard work, empathy, and integrity while growing up on her family's farm. As an English teacher for 33 years, Gwendoline understands the dedication needed to help others, collaborate, and the importance of building  community.Gwendoline volunteers her time with Saamis Immigration, helping newcomers learn English, and has joined the Medicine Hat Police Commission as a commissioner.Gwendoline believes Albertans deserve strong public health care and public education, and she is running to stand up for small business owners, farmers, ranchers, and all rural Albertans.
David Eggen	Edmonton-North West	David Eggen is focused on supporting Alberta students on their path to success. As Minister of Education and now the Critic for Advanced Education, David understands the value of a strong education system.Prior to being elected, David was a teacher for 20 years. From 2008 to 2012, David was the Executive Director of Friends of Medicare where he held conservative governments accountable on their commitments to build hospitals and fought their attempts to cut back services.David is an avid gardener and enjoys cross-country skiing in the winter.
