Diana Batten	Alberta Ndp	Benilde Gomes
Tyler Shandro	United Conservative Party	Keith Marlowe
Amanda Chapman	Alberta Ndp	Denise Kerleroux
Josephine Pon	United Conservative Party	James Pon
Druh Farrell	Alberta Ndp	Harris Kirshenbaum
Demetrios Nicolaides	United Conservative Party	Samuel Blackett
Joe Ceci	Alberta Ndp	Harris Kirshenbaum
Jonathan Parks	Green Party Of Alberta	Geoffrey Tanaka
Gurinder Singh Gill	Alberta Ndp	Melissa Langmaid
Jason Avramenko	Alberta Party	Russell Avramenko
Janet Eremenko	Alberta Ndp	Harris Kirshenbaum
Lane Robson	Green Party Of Alberta	Betty Dharap
Jayden Baldonado	Green Party Of Alberta	Geoffrey Tanaka
Peter Singh	United Conservative Party	Frank Warkentin
Rosman Valencia	Alberta Ndp	Marichu Antonio
Julia Hayter	Alberta Ndp	David Bartle
Prasad Panda	United Conservative Party	Kevin Dick
Kerry Cundal	Alberta Party	Cesar Agudelo
Christopher Davis	United Conservative Party	O'Neil Sean
Samir Kayande	Alberta Ndp	Harris Kirshenbaum
Parmeet Singh Boparai	Alberta Ndp	Melissa Langmaid
Devinder Toor	United Conservative Party	Balmeet Toor
Rebecca Bounsall	Alberta Ndp	Benilde Gomes
Court Ellingson	Alberta Ndp	David Bartle
Jason Luan	United Conservative Party	Byron Price
Nagwan Al-Guneid	Alberta Ndp	Benilde Gomes
Whitney Issik	United Conservative Party	Keith Marlowe
Steven Maffioli	Green Party Of Alberta	Geoffrey Tanaka
Richard William (Ric) Mciver	United Conservative Party	Brian Van Vliet
Andrew Stewart	Alberta Ndp	Benilde Gomes
Evelyn Tanaka	Green Party Of Alberta	Geoffrey Tanaka
Jeremy Nixon	United Conservative Party	Keith Falkenberg
Lizette Tejada	Alberta Ndp	Harris Kirshenbaum
Eric Bouchard	United Conservative Party	Darrell Komick
Roggeveen John	Alberta Liberal Party	Aleks Samardzija
Amanpreet Singh Gill	United Conservative Party	Rajkanwal Singh Sidhu
Irfan Sabir	Alberta Ndp	Melissa Langmaid
Kathleen Ganley	Alberta Ndp	Harris Kirshenbaum
Gurinder Brar	Alberta Ndp	Melissa Langmaid
Inder Grewal	United Conservative Party	Kulwinder Grewal
Michael Lisboa-Smith	Alberta Ndp	Luiz Lisboa
Rajan Sawhney	United Conservative Party	Jim Palmer
Tanya Fir	United Conservative Party	Dwain Lowe
Shaun Pulsifer	Green Party Of Alberta	Troy Fredeen
Denis Ram	Alberta Ndp	Benilde Gomes
David Cloutier	Alberta Ndp	Harris Kirshenbaum
Justin Huseby	Alberta Ndp	Harris Kirshenbaum
Matt Jones	United Conservative Party	Brandon Baisi
Oaklan Davidsen	Wildrose Loyalty Coalition	Charles Hrabec
Angela Grace	Alberta Party	Curtis Buxton
Luanne Metz	Alberta Ndp	Denise Kerleroux
Joan Chand'Oiseau	Alberta Ndp	David Bartle
Mike Ellis	United Conservative Party	David Mckenzie
Michael C.W. Hunter	Green Party Of Alberta	Beth Hunter
Luke Suvanto	United Conservative Party	Erin Dalke
Peggy Wright	Alberta Ndp	Daniel Theroux
Jon Dziadyk	United Conservative Party	Mayada (Maya) Echtay
Nicole Goehring	Alberta Ndp	Margaret Halberg
Patrick Stewart	Alberta Party	Debbie Stewart
David Shepherd	Alberta Ndp	Aisling Devlin-O'Connor
Richard Wong	United Conservative Party	Brad Severin
Sayid Ahmed	United Conservative Party	Stephen Snyder
Sharif Haji	Alberta Ndp	Daniel Theroux
Brent Tyson	Alberta Party	Julie-Ann Dron
Rod Loyola	Alberta Ndp	Gerard Amani
Melissa Crane	United Conservative Party	Alana Barager-Arnott
Sarah Hoffman	Alberta Ndp	Aisling Devlin-O'Connor
Julian Schulz	Green Party Of Alberta	Eva Himka
Ernestina Malheiro	Green Party Of Alberta	Patrick Cuthbert
Marlin Schmidt	Alberta Ndp	Amani Mutabazi
Janis Irwin	Alberta Ndp	Aisling Devlin-O'Connor
Kristine Kowalchuk	Green Party Of Alberta	Pat Cuthbert
Naomi Rankin	Communist Party - Alberta	Blyth Nuttall
Albert Mazzocca	United Conservative Party	Armando Mazzocca
Heather Sweet	Alberta Ndp	Daniel Theroux
Lorne Dach	Alberta Ndp	Camille Macrae
Corinne Benson	Communist Party - Alberta	Blyth Nuttall
Jasvir Deol	Alberta Ndp	Gerard Amani
Raman Athwal	United Conservative Party	Harvinder Badial
Christina Gray	Alberta Ndp	Gerard Amani
